user_id,signup_date,plan_type,region,acquisition_channel,cac,churned,months_active
U00086,2023-04-17,Basic,Europe,Referral,5,1,17
U00087,2025-07-04,Free,North America,Organic,0,0,2
U00088,2025-03-28,Free,Other,Referral,5,1,3
U00089,2025-08-22,Free,Europe,Paid Ads,20,0,1
U00090,2024-02-11,Basic,North America,Referral,5,1,5
U00091,2023-01-11,Basic,Asia,Referral,5,1,4
U00092,2025-06-23,Enterprise,Other,Paid Ads,20,0,3
U00093,2025-07-22,Pro,North America,Referral,5,0,2
U00094,2024-10-20,Enterprise,North America,Referral,5,0,11
U00095,2025-07-26,Free,Asia,Referral,5,0,2
U00096,2024-04-13,Pro,Europe,Paid Ads,20,1,11
U00097,2024-07-07,Basic,Asia,Paid Ads,20,1,6
U00098,2023-10-15,Free,Europe,Organic,0,1,22
U00099,2023-01-04,Free,Europe,Paid Ads,20,1,4
U00100,2023-01-09,Basic,Asia,Paid Ads,20,1,3
U00101,2023-01-04,Free,North America,Paid Ads,20,1,2
U00102,2025-03-26,Free,Europe,Organic,0,1,2
U00103,2023-04-05,Pro,Europe,Organic,0,1,26
U00104,2024-05-27,Pro,North America,Organic,0,1,4
U00105,2025-08-24,Basic,Europe,Paid Ads,20,0,1
U00106,2023-02-15,Free,Asia,Organic,0,1,14
U00107,2023-09-05,Free,Asia,Organic,0,1,15
U00108,2025-07-19,Basic,North America,Referral,5,0,2
U00109,2023-02-06,Enterprise,Asia,Paid Ads,20,0,31
U00110,2023-01-07,Basic,Europe,Referral,5,1,4
U00111,2023-03-14,Free,Europe,Paid Ads,20,1,1
U00112,2023-01-17,Free,Europe,Organic,0,1,2
U00113,2025-08-26,Basic,Europe,Referral,5,0,1
U00114,2025-08-08,Free,North America,Organic,0,0,1
U00115,2025-03-21,Pro,North America,Organic,0,1,3
U00116,2025-08-20,Basic,North America,Organic,0,0,1
U00117,2025-08-07,Free,Asia,Referral,5,0,1
U00118,2023-01-23,Free,Asia,Paid Ads,20,1,9
U00119,2025-08-23,Pro,North America,Paid Ads,20,0,1
U00120,2024-08-22,Free,North America,Organic,0,1,2
U00121,2025-08-08,Free,North America,Organic,0,0,1
U00122,2025-08-23,Basic,Europe,Organic,0,0,1
U00123,2023-04-09,Free,Europe,Referral,5,1,6
U00124,2023-01-09,Free,Europe,Referral,5,1,1
U00125,2023-02-05,Basic,Europe,Organic,0,1,30
U00126,2023-10-14,Free,Europe,Referral,5,1,7
U00127,2025-08-11,Free,Europe,Paid Ads,20,0,1
U00128,2025-08-19,Basic,Other,Referral,5,0,1
U00129,2023-01-03,Free,Europe,Organic,0,1,3
U00130,2024-06-02,Pro,North America,Paid Ads,20,1,8
U00131,2023-09-21,Pro,Asia,Paid Ads,20,1,1
U00132,2023-02-03,Free,Asia,Paid Ads,20,1,3
U00133,2023-01-11,Basic,North America,Referral,5,1,2
U00134,2023-05-02,Basic,North America,Paid Ads,20,1,10
U00135,2025-08-27,Free,Europe,Paid Ads,20,0,1
U00136,2023-04-15,Free,North America,Referral,5,1,1
U00137,2024-06-25,Free,North America,Referral,5,1,6
U00138,2025-06-14,Free,Other,Organic,0,1,3
U00139,2023-06-08,Free,Europe,Organic,0,1,6
U00140,2025-08-28,Pro,North America,Organic,0,0,1
U00141,2025-08-28,Free,North America,Paid Ads,20,0,1
U00142,2023-02-17,Basic,Europe,Organic,0,1,12
U00143,2024-04-23,Pro,Asia,Organic,0,0,17
U00144,2023-03-23,Basic,Europe,Referral,5,1,10
U00145,2023-03-10,Free,North America,Paid Ads,20,1,3
U00146,2023-01-04,Free,North America,Paid Ads,20,1,2
U00147,2025-02-06,Pro,Asia,Referral,5,1,6
U00148,2024-05-09,Pro,Europe,Organic,0,0,16
U00149,2023-01-05,Free,Europe,Paid Ads,20,1,2
U00150,2023-03-05,Basic,North America,Paid Ads,20,1,1
U00151,2025-08-24,Basic,North America,Referral,5,0,1
U00152,2023-02-10,Enterprise,Europe,Organic,0,0,31
U00153,2023-01-14,Basic,Asia,Referral,5,1,1
U00154,2024-04-01,Free,Asia,Organic,0,1,8
U00155,2025-08-29,Free,Asia,Paid Ads,20,0,1
U00156,2023-02-12,Basic,Asia,Organic,0,0,31
U00157,2025-05-14,Free,North America,Organic,0,0,4
U00158,2025-07-22,Free,North America,Paid Ads,20,0,2
U00159,2023-02-10,Basic,Asia,Organic,0,1,1
U00160,2025-07-03,Pro,Europe,Organic,0,0,2
U00161,2023-06-15,Basic,Other,Organic,0,1,9
U00162,2025-03-19,Free,Asia,Paid Ads,20,1,1
U00163,2025-03-21,Pro,Europe,Referral,5,1,1
U00164,2024-08-12,Free,North America,Organic,0,1,2
U00165,2023-01-08,Free,Europe,Organic,0,1,2
U00166,2025-08-14,Enterprise,North America,Referral,5,0,1
U00167,2023-04-12,Basic,Europe,Organic,0,1,6
U00168,2023-01-23,Basic,North America,Referral,5,1,17
U00169,2023-01-04,Free,Asia,Organic,0,1,6
U00170,2024-12-30,Basic,North America,Organic,0,0,9
U00171,2025-05-20,Free,Europe,Referral,5,1,2
U00172,2023-01-03,Free,Europe,Organic,0,1,3
U00173,2024-06-06,Basic,North America,Referral,5,1,11
U00174,2023-02-05,Basic,Europe,Referral,5,1,7
U00175,2025-04-08,Free,Asia,Paid Ads,20,1,3
U00176,2023-01-20,Free,Europe,Paid Ads,20,1,8
U00177,2025-06-03,Basic,Europe,Paid Ads,20,0,3
U00178,2023-07-19,Basic,North America,Referral,5,1,9
U00179,2025-08-26,Basic,Asia,Paid Ads,20,0,1
U00180,2023-01-13,Basic,Europe,Paid Ads,20,1,12
U00181,2023-05-06,Free,North America,Referral,5,1,1
U00182,2023-01-10,Pro,North America,Paid Ads,20,0,32
U00183,2025-08-26,Free,Europe,Referral,5,0,1
U00184,2025-08-21,Free,Europe,Organic,0,0,1
U00185,2023-02-20,Basic,Europe,Referral,5,1,1
U00186,2025-04-29,Pro,North America,Referral,5,0,5
U00187,2025-08-10,Free,Asia,Referral,5,0,1
U00188,2024-10-04,Enterprise,Europe,Referral,5,0,11
U00189,2024-07-26,Free,North America,Paid Ads,20,1,2
U00190,2023-02-12,Free,North America,Paid Ads,20,1,2
U00191,2023-01-08,Free,North America,Referral,5,1,13
U00192,2025-08-23,Free,Europe,Organic,0,0,1
U00193,2025-08-24,Free,North America,Paid Ads,20,0,1
U00194,2025-03-21,Pro,Europe,Paid Ads,20,0,6
U00195,2023-05-04,Free,Europe,Referral,5,1,10
U00196,2023-05-18,Free,North America,Paid Ads,20,1,3
U00197,2025-07-02,Basic,Europe,Organic,0,1,1
U00198,2025-08-23,Free,North America,Paid Ads,20,0,1
U00199,2025-08-22,Free,Asia,Organic,0,0,1
U00200,2025-07-30,Basic,North America,Referral,5,0,2
U00201,2025-04-04,Free,Asia,Referral,5,1,4
U00202,2023-01-07,Free,North America,Paid Ads,20,1,5
U00203,2023-01-17,Free,Other,Referral,5,1,8
U00204,2025-08-23,Basic,North America,Referral,5,0,1
U00205,2025-01-31,Free,North America,Organic,0,0,8
U00206,2023-01-03,Free,Europe,Referral,5,0,32
U00207,2023-01-09,Free,North America,Referral,5,1,1
U00208,2025-05-03,Pro,Europe,Referral,5,0,4
U00209,2023-01-03,Basic,North America,Referral,5,1,3
U00210,2023-01-17,Pro,North America,Organic,0,1,6
U00211,2024-09-17,Free,Other,Paid Ads,20,1,8
U00212,2025-06-04,Basic,Europe,Organic,0,0,3
U00213,2025-04-18,Pro,North America,Organic,0,1,2
U00214,2023-02-04,Pro,Asia,Organic,0,1,5
U00215,2025-06-22,Free,North America,Paid Ads,20,0,3
U00216,2023-02-09,Free,Other,Referral,5,1,3
U00217,2023-04-17,Free,Europe,Paid Ads,20,1,2
U00218,2025-07-14,Free,North America,Referral,5,0,2
U00219,2025-04-15,Pro,Asia,Paid Ads,20,0,5
U00220,2025-08-17,Free,North America,Paid Ads,20,0,1
U00221,2025-04-26,Free,North America,Paid Ads,20,1,3
U00222,2024-11-07,Basic,Europe,Organic,0,0,10
U00223,2023-01-08,Free,North America,Organic,0,1,18
U00224,2023-06-15,Pro,Other,Organic,0,1,22
U00225,2023-02-24,Free,North America,Organic,0,1,2
U00226,2023-02-13,Pro,North America,Paid Ads,20,0,31
U00227,2025-08-28,Pro,Asia,Organic,0,0,1
U00228,2023-07-31,Free,Asia,Organic,0,1,2
U00229,2025-08-23,Free,Europe,Referral,5,0,1
U00230,2025-03-17,Free,Asia,Paid Ads,20,1,5
U00231,2025-08-04,Enterprise,North America,Referral,5,0,1
U00232,2024-05-09,Free,Asia,Paid Ads,20,1,13
U00233,2024-11-28,Free,Europe,Paid Ads,20,1,4
U00234,2024-04-10,Free,Asia,Paid Ads,20,1,4
U00235,2023-01-25,Free,North America,Paid Ads,20,1,3
U00236,2025-06-29,Free,North America,Referral,5,1,1
U00237,2023-03-07,Free,North America,Referral,5,1,15
U00238,2023-01-04,Pro,Other,Organic,0,1,22
U00239,2025-04-09,Pro,Asia,Organic,0,0,5
U00240,2023-01-20,Free,North America,Organic,0,1,17
U00241,2025-08-27,Free,Asia,Referral,5,1,1
U00242,2025-08-27,Free,North America,Referral,5,0,1
U00243,2025-08-25,Basic,North America,Referral,5,0,1
U00244,2023-06-19,Free,Europe,Referral,5,1,3
U00245,2023-01-03,Free,Europe,Organic,0,1,4
U00246,2025-08-26,Pro,Europe,Organic,0,0,1
U00247,2023-10-17,Free,North America,Organic,0,1,5
U00248,2025-08-28,Enterprise,Europe,Organic,0,0,1
U00249,2025-08-28,Free,Europe,Organic,0,0,1
U00250,2025-08-18,Pro,Asia,Organic,0,0,1
U00251,2023-03-18,Free,Europe,Referral,5,1,1
U00252,2023-07-15,Free,Europe,Paid Ads,20,1,19
U00253,2025-08-17,Free,North America,Referral,5,0,1
U00254,2023-04-08,Pro,North America,Referral,5,1,20
U00255,2023-01-19,Free,Other,Paid Ads,20,1,10
U00256,2024-10-08,Free,North America,Referral,5,1,4
U00257,2025-08-26,Pro,Europe,Paid Ads,20,0,1
U00258,2025-06-08,Free,Europe,Referral,5,1,3
U00259,2024-11-11,Free,North America,Referral,5,1,3
U00260,2023-01-08,Free,Asia,Referral,5,1,7
U00261,2025-02-17,Free,Europe,Organic,0,0,7
U00262,2025-08-29,Free,Europe,Paid Ads,20,1,1
U00263,2023-01-13,Free,Other,Paid Ads,20,1,29
U00264,2024-06-24,Basic,Other,Organic,0,1,13
U00265,2025-08-21,Enterprise,Europe,Paid Ads,20,0,1
U00266,2025-07-11,Pro,Asia,Paid Ads,20,0,2
U00267,2025-06-09,Free,Asia,Referral,5,1,3
U00268,2025-06-14,Free,Europe,Organic,0,1,2
U00269,2023-06-02,Enterprise,Europe,Paid Ads,20,0,27
U00270,2023-03-17,Free,Asia,Paid Ads,20,1,4
U00271,2025-08-08,Pro,Europe,Referral,5,0,1
U00272,2025-08-08,Pro,Asia,Referral,5,0,1
U00273,2025-08-20,Free,Europe,Paid Ads,20,0,1
U00274,2025-08-25,Free,North America,Referral,5,0,1
U00275,2024-06-04,Free,Asia,Organic,0,1,3
U00276,2024-05-06,Free,North America,Referral,5,1,2
U00277,2025-08-05,Free,Asia,Organic,0,0,1
U00278,2025-04-15,Free,North America,Referral,5,0,5
U00279,2025-06-13,Free,North America,Paid Ads,20,0,3
U00280,2025-08-04,Free,Europe,Organic,0,0,1
U00281,2025-08-23,Free,North America,Organic,0,0,1
U00282,2023-05-02,Basic,Europe,Paid Ads,20,0,28
U00283,2023-06-28,Free,North America,Paid Ads,20,1,6
U00284,2023-01-08,Free,Asia,Paid Ads,20,1,11
U00285,2024-12-01,Free,Asia,Organic,0,0,9
U00286,2023-01-04,Free,North America,Organic,0,1,14
U00287,2024-01-23,Basic,Europe,Organic,0,1,17
U00288,2024-08-31,Free,North America,Paid Ads,20,1,6
U00289,2023-03-11,Enterprise,Europe,Referral,5,1,22
U00290,2024-12-29,Enterprise,North America,Referral,5,0,9
U00291,2023-01-04,Basic,North America,Referral,5,1,6
U00292,2023-01-04,Free,North America,Organic,0,1,3
U00293,2025-08-12,Free,North America,Paid Ads,20,0,1
U00294,2023-06-03,Free,North America,Organic,0,1,2
U00295,2023-01-11,Free,Asia,Organic,0,1,6
U00296,2024-07-05,Free,Europe,Organic,0,1,8
U00297,2025-07-26,Free,Asia,Referral,5,0,2
U00298,2023-02-01,Free,Asia,Organic,0,1,2
U00299,2025-03-03,Free,Europe,Referral,5,1,3
U00300,2023-01-07,Pro,Asia,Organic,0,1,24
U00301,2023-01-05,Free,North America,Organic,0,1,12
U00302,2024-07-31,Free,Other,Organic,0,1,6
U00303,2024-08-26,Basic,Asia,Organic,0,1,1
U00304,2025-03-27,Free,Europe,Paid Ads,20,1,2
U00305,2025-07-02,Basic,Europe,Organic,0,0,2
U00306,2025-08-28,Basic,North America,Paid Ads,20,0,1
U00307,2024-06-18,Basic,Asia,Organic,0,1,15
U00308,2023-04-14,Pro,North America,Organic,0,1,7
U00309,2025-08-04,Pro,North America,Paid Ads,20,0,1
U00310,2023-02-28,Pro,North America,Organic,0,1,23
U00311,2023-11-13,Free,Europe,Paid Ads,20,1,12
U00312,2023-01-07,Free,Europe,Referral,5,1,3
U00313,2023-01-04,Basic,Asia,Referral,5,1,9
U00314,2025-08-28,Free,Asia,Paid Ads,20,0,1
U00315,2025-08-15,Free,Other,Organic,0,0,1
U00316,2025-06-08,Free,Europe,Paid Ads,20,1,1
U00317,2023-09-02,Free,Europe,Organic,0,1,9
U00318,2023-01-19,Free,Asia,Referral,5,1,1
U00319,2023-01-16,Free,Europe,Paid Ads,20,1,7
U00320,2023-02-16,Free,Europe,Referral,5,1,2
U00321,2024-09-18,Pro,North America,Organic,0,1,4
U00322,2025-06-24,Free,Asia,Organic,0,1,1
U00323,2025-04-29,Free,Europe,Referral,5,1,2
U00324,2023-03-06,Free,Asia,Organic,0,1,1
U00325,2025-08-27,Pro,Other,Organic,0,0,1
U00326,2025-07-09,Free,Europe,Referral,5,1,1
U00327,2024-10-02,Free,Other,Organic,0,1,1
U00328,2025-02-10,Free,Other,Paid Ads,20,1,2
U00329,2023-09-26,Pro,Asia,Organic,0,1,1
U00330,2023-02-15,Free,North America,Referral,5,1,10
U00331,2023-05-27,Basic,Europe,Referral,5,1,4
U00332,2025-07-20,Free,North America,Organic,0,0,2
U00333,2023-01-03,Free,Other,Referral,5,1,15
U00334,2023-01-10,Enterprise,Europe,Referral,5,0,32
U00335,2023-01-05,Free,North America,Referral,5,1,9
U00336,2023-01-04,Free,Asia,Organic,0,1,8
U00337,2025-08-18,Free,North America,Organic,0,0,1
U00338,2025-06-15,Free,Europe,Paid Ads,20,0,3
U00339,2024-02-17,Basic,Other,Paid Ads,20,1,13
U00340,2023-01-08,Basic,Other,Referral,5,1,10
U00341,2024-04-07,Basic,Europe,Paid Ads,20,1,4
U00342,2024-02-15,Free,North America,Organic,0,1,1
U00343,2023-01-19,Free,Europe,Organic,0,1,5
U00344,2023-10-31,Free,Asia,Referral,5,1,5
U00345,2023-08-11,Free,North America,Organic,0,1,1
U00346,2025-02-18,Free,North America,Referral,5,1,1
U00347,2025-03-24,Pro,Other,Paid Ads,20,1,4
U00348,2023-01-05,Pro,North America,Paid Ads,20,1,11
U00349,2023-06-27,Free,Asia,Organic,0,1,1
U00350,2025-03-08,Free,North America,Referral,5,1,3
U00351,2024-05-11,Free,Europe,Organic,0,1,2
U00352,2025-08-18,Basic,Europe,Referral,5,0,1
U00353,2025-04-27,Basic,North America,Paid Ads,20,0,5
U00354,2023-01-17,Free,North America,Organic,0,1,3
U00355,2023-01-06,Basic,Asia,Paid Ads,20,1,12
U00356,2025-04-04,Pro,Asia,Referral,5,0,5
U00357,2023-01-04,Pro,Europe,Organic,0,0,32
U00358,2024-12-18,Free,North America,Paid Ads,20,0,9
U00359,2025-08-27,Free,Asia,Referral,5,0,1
U00360,2024-11-24,Basic,Other,Paid Ads,20,1,1
U00361,2023-07-21,Pro,North America,Paid Ads,20,0,26
U00362,2025-04-06,Free,Asia,Organic,0,0,5
U00363,2024-01-03,Free,Asia,Referral,5,1,14
U00364,2024-09-09,Free,North America,Referral,5,1,12
U00365,2025-08-27,Free,Asia,Organic,0,0,1
U00366,2023-07-17,Pro,North America,Referral,5,0,26
U00367,2025-08-28,Free,Asia,Organic,0,0,1
U00368,2025-08-24,Pro,Europe,Referral,5,0,1
U00369,2023-01-25,Free,North America,Paid Ads,20,1,5
U00370,2023-01-06,Basic,Europe,Organic,0,1,30
U00371,2023-01-09,Basic,Europe,Referral,5,1,1
U00372,2023-01-03,Pro,Europe,Referral,5,1,18
U00373,2023-01-08,Free,Asia,Organic,0,1,5
U00374,2025-05-26,Free,Europe,Paid Ads,20,1,3
U00375,2023-01-06,Free,North America,Organic,0,1,4
U00376,2023-04-10,Free,Asia,Organic,0,1,3
U00377,2025-08-16,Free,Europe,Organic,0,1,1
U00378,2023-01-04,Free,Other,Paid Ads,20,1,15
U00379,2025-08-10,Basic,Europe,Organic,0,0,1
U00380,2023-03-08,Basic,Asia,Paid Ads,20,1,4
U00381,2023-01-10,Enterprise,Europe,Referral,5,1,10
U00382,2025-06-09,Free,North America,Referral,5,1,3
U00383,2025-03-14,Pro,North America,Referral,5,0,6
U00384,2025-08-21,Pro,Other,Paid Ads,20,0,1
U00385,2025-07-08,Free,North America,Paid Ads,20,0,2
U00386,2025-08-07,Free,North America,Organic,0,0,1
U00387,2023-03-08,Pro,Asia,Referral,5,1,21
U00388,2023-01-20,Free,Europe,Paid Ads,20,1,5
U00389,2025-07-17,Pro,North America,Paid Ads,20,0,2
U00390,2025-08-08,Pro,Europe,Paid Ads,20,0,1
U00391,2025-08-29,Basic,Asia,Organic,0,0,1
U00392,2023-09-10,Basic,Other,Organic,0,1,17
U00393,2023-06-22,Basic,North America,Referral,5,1,19
U00394,2025-07-28,Pro,Europe,Paid Ads,20,0,2
U00395,2023-05-06,Free,Europe,Organic,0,1,7
U00396,2025-08-26,Free,Europe,Organic,0,0,1
U00397,2025-08-18,Free,North America,Paid Ads,20,0,1
U00398,2023-10-19,Free,Europe,Organic,0,1,2
U00399,2025-07-17,Free,Europe,Referral,5,0,2
U00400,2025-07-19,Free,Europe,Paid Ads,20,0,2
U00401,2023-01-09,Free,North America,Paid Ads,20,1,7
U00402,2025-08-24,Basic,North America,Paid Ads,20,0,1
U00403,2024-05-17,Enterprise,North America,Referral,5,0,16
U00404,2025-08-13,Free,Europe,Referral,5,0,1
U00405,2023-04-11,Basic,Europe,Referral,5,1,4
U00406,2025-08-23,Basic,Europe,Paid Ads,20,0,1
U00407,2023-07-23,Free,Europe,Organic,0,1,4
U00408,2023-01-03,Basic,Europe,Paid Ads,20,0,32
U00409,2025-08-24,Free,Europe,Referral,5,0,1
U00410,2023-01-08,Basic,Asia,Referral,5,1,5
U00411,2023-04-10,Free,Europe,Organic,0,1,5
U00412,2025-08-27,Free,Asia,Organic,0,0,1
U00413,2025-08-27,Free,Asia,Organic,0,0,1
U00414,2024-11-19,Basic,Europe,Organic,0,0,10
U00415,2025-03-18,Enterprise,North America,Referral,5,0,6
U00416,2023-12-07,Free,Europe,Referral,5,1,16
U00417,2023-03-17,Free,North America,Paid Ads,20,1,3
U00418,2023-04-21,Pro,Europe,Referral,5,1,25
U00419,2025-05-14,Basic,Europe,Referral,5,0,4
U00420,2025-07-18,Free,Other,Organic,0,0,2
U00421,2025-08-03,Free,Other,Paid Ads,20,0,1
U00422,2025-08-02,Free,Europe,Paid Ads,20,0,1
U00423,2023-01-08,Free,Europe,Organic,0,1,4
U00424,2024-04-15,Free,Europe,Organic,0,1,3
U00425,2023-01-05,Free,Asia,Referral,5,1,8
U00426,2024-09-19,Free,Asia,Referral,5,1,1
U00427,2023-11-19,Pro,Other,Paid Ads,20,1,4
U00428,2025-08-22,Basic,Europe,Referral,5,0,1
U00429,2023-05-20,Free,Asia,Organic,0,1,2
U00430,2023-01-10,Pro,North America,Referral,5,1,24
U00431,2023-01-14,Free,Europe,Organic,0,1,21
U00432,2025-07-22,Free,Asia,Paid Ads,20,0,2
U00433,2025-02-23,Basic,North America,Paid Ads,20,0,7
U00434,2023-01-09,Free,North America,Paid Ads,20,1,15
U00435,2023-01-07,Basic,North America,Paid Ads,20,1,6
U00436,2025-06-12,Free,North America,Referral,5,0,3
U00437,2023-01-06,Basic,North America,Organic,0,1,31
U00438,2025-08-11,Free,North America,Organic,0,0,1
U00439,2025-06-17,Basic,North America,Paid Ads,20,1,2
U00440,2023-01-07,Basic,North America,Referral,5,1,10
U00441,2023-01-07,Free,Other,Organic,0,1,8
U00442,2025-08-29,Free,North America,Referral,5,0,1
U00443,2023-06-26,Free,North America,Referral,5,1,2
U00444,2023-06-20,Free,Asia,Referral,5,1,1
U00445,2025-08-09,Basic,Europe,Referral,5,0,1
U00446,2025-08-27,Pro,North America,Organic,0,0,1
U00447,2025-08-29,Free,North America,Referral,5,1,1
U00448,2025-07-18,Free,North America,Paid Ads,20,0,2
U00449,2023-06-29,Free,Other,Referral,5,1,1
U00450,2023-01-07,Basic,Europe,Paid Ads,20,1,17
U00451,2025-07-29,Free,North America,Organic,0,0,2
U00452,2024-10-12,Free,Europe,Organic,0,1,8
U00453,2023-10-07,Basic,Other,Referral,5,1,7
U00454,2025-08-24,Free,North America,Paid Ads,20,0,1
U00455,2023-01-10,Free,Europe,Referral,5,1,8
U00456,2024-04-10,Free,Europe,Paid Ads,20,1,5
U00457,2023-01-03,Free,Europe,Referral,5,1,3
U00458,2024-02-01,Free,Europe,Paid Ads,20,0,19
U00459,2023-01-05,Free,Europe,Organic,0,1,1
U00460,2023-01-10,Free,Asia,Referral,5,1,3
U00461,2023-01-10,Free,Europe,Organic,0,1,4
U00462,2025-04-14,Free,North America,Referral,5,1,1
U00463,2025-07-14,Free,Other,Referral,5,0,2
U00464,2024-12-13,Enterprise,North America,Organic,0,0,9
U00465,2025-08-28,Free,North America,Organic,0,0,1
U00466,2023-06-27,Basic,Other,Organic,0,1,8
U00467,2023-03-11,Free,North America,Referral,5,1,11
U00468,2025-08-20,Free,North America,Organic,0,0,1
U00469,2023-02-04,Enterprise,Asia,Referral,5,0,31
U00470,2025-08-28,Free,Asia,Organic,0,0,1
U00471,2023-01-03,Free,Asia,Paid Ads,20,1,6
U00472,2025-08-28,Pro,Europe,Referral,5,0,1
U00473,2023-01-05,Free,Asia,Organic,0,1,13
U00474,2025-08-23,Free,Europe,Referral,5,1,1
U00475,2024-07-21,Free,Asia,Organic,0,1,2
U00476,2025-08-29,Free,North America,Organic,0,1,1
U00477,2023-01-06,Free,Europe,Paid Ads,20,1,27
U00478,2024-10-01,Free,North America,Referral,5,1,9
U00479,2025-08-28,Pro,Europe,Referral,5,0,1
U00480,2024-07-08,Basic,North America,Paid Ads,20,1,4
